,codigo,x,y,tipo,numero
698,1013,44103400,446692372,cruces,17
699,1014,44093598,446708600,cruces,1
700,1014,44096614,446697891,cruces,9
701,1014,44098412,446691550,cruces,15
702,1019,43956590,446755220,cruces,2
703,1019,43954159,446744514,cruces,4
704,1019,43949320,446727133,cruces,18
705,1019,43945101,446712629,cruces,24
706,1019,43939397,446696363,cruces,38
707,1019,43939397,446696363,cruces,38
708,1019,43939397,446696363,cruces,38
709,1020,43925695,446695425,cruces,12
710,1020,43925695,446695425,cruces,12
711,1020,43916492,446704639,cruces,26
712,1020,43916400,446712525,cruces,30
713,1020,43916328,446727024,cruces,34
714,1020,43916328,446727024,cruces,34
715,1021,43949320,446727133,cruces,18
716,1021,43934272,446727102,cruces,30
717,1021,43925294,446727084,cruces,38
718,1021,43916328,446727024,cruces,56
719,1021,43916328,446727024,cruces,56
720,1022,43945101,446712629,cruces,5
721,1022,43934303,446712576,cruces,13
722,1022,43916400,446712525,cruces,27
723,1023,43934081,446754993,cruces,1
724,1023,43934187,446744353,cruces,9
725,1023,43934272,446727102,cruces,21
726,1023,43934303,446712576,cruces,31
727,1023,43925698,446704563,cruces,43
728,1023,43916492,446704639,cruces,51
729,1024,43925277,446755017,cruces,2
730,1024,43925297,446744322,cruces,10
731,1024,43925294,446727084,cruces,56
732,1025,43925698,446704563,cruces,6
733,1025,43925695,446695425,cruces,12
734,1025,43925695,446695425,cruces,12
735,1027,43916327,446735735,cruces,20
736,1028,44155438,446727739,cruces,2
737,1036,44158844,447105050,cruces,2
738,1036,44166244,447113597,cruces,10
739,1036,44184258,447111080,cruces,42
740,1036,44184258,447111080,cruces,42
741,1061,44624957,447713427,cruces,2
742,1061,44624957,447713427,cruces,2
743,1071,43895331,447218040,cruces,2
744,1075,45106144,448096010,cruces,2
745,1075,45107808,448093645,cruces,2
746,1075,45106144,448096010,cruces,2
747,1075,45111025,448096512,cruces,2
748,1075,45099672,448118317,cruces,16
749,1083,43867464,447765613,cruces,2
750,1083,43866438,447781269,cruces,2
751,1084,44269864,447016964,cruces,8
752,1084,44269864,447016964,cruces,8
753,1084,44269864,447016964,cruces,8
754,1084,44263386,446918611,cruces,20
755,1089,43787735,447539461,cruces,1
756,1095,43851011,447538193,cruces,8
757,1095,43855240,447538975,cruces,8
758,1095,43857461,447547451,cruces,8
759,1095,43852832,447544436,cruces,8
760,1095,43847682,447547707,cruces,8
761,1100,43992874,446627302,cruces,11
762,1104,44953565,448071218,cruces,
763,1104,44957350,448074770,cruces,
764,1104,44961332,448081949,cruces,
765,1104,44964257,448085777,cruces,
766,1104,44968951,448088744,cruces,
